iter	Accuracy	Logloss
180	0.8598386767	0.3008818266
181	0.8598603147	0.3008621032
182	0.8598771443	0.3008477551
183	0.859896378	0.3008335383
184	0.8598891654	0.3008146848
185	0.859896378	0.3007958722
186	0.8599108034	0.3007750119
187	0.8599035907	0.3007514488
188	0.8599276329	0.3007347745
189	0.8599059949	0.3007112016
190	0.859918016	0.3006935632
191	0.8599059949	0.3006735621
192	0.859918016	0.3006533357
193	0.8599372498	0.3006314513
194	0.8599588878	0.3006134708
195	0.8599636963	0.3006010767
196	0.8599733131	0.3005849999
197	0.8599877385	0.3005689291
198	0.8599805258	0.3005550476
199	0.8599877385	0.300536001
200	0.8599781216	0.300524403
201	0.8599805258	0.3005087965
202	0.8599877385	0.3004872231
203	0.8600021638	0.3004709744
204	0.860047844	0.3004521053
205	0.860047844	0.3004341721
206	0.8600574609	0.3004160121
207	0.8600887158	0.3003993228
208	0.8600574609	0.3003831249
209	0.8600670778	0.300362891
210	0.8600622693	0.3003432471
211	0.8600574609	0.3003271786
212	0.860047844	0.300315399
213	0.8600574609	0.3003012003
214	0.8600310145	0.3002871966
215	0.8600742905	0.3002723327
216	0.8600863116	0.3002575789
217	0.8600959285	0.3002414203
218	0.8601055453	0.3002223589
219	0.8601007369	0.3002086369
220	0.8600935242	0.3001947682
221	0.8600815031	0.3001846687
222	0.8600550567	0.3001702315
223	0.8600718862	0.3001520203
224	0.8600790989	0.3001399823
225	0.8600815031	0.3001256755
226	0.8601007369	0.3001118934
227	0.8601079496	0.3001003643
228	0.8601151622	0.3000872374
229	0.8601536298	0.3000661505
230	0.8601800762	0.3000530166
231	0.8601728635	0.30003218
232	0.8602017142	0.3000212339
233	0.8602017142	0.299998404
234	0.8602546071	0.2999798032
235	0.8602522029	0.2999672538
236	0.860285862	0.2999537017
237	0.8603050957	0.2999347103
238	0.8603099042	0.2999156398
239	0.8603195211	0.2999046503
240	0.8603411591	0.2998881084
241	0.8602810535	0.2998748897
242	0.860329138	0.2998603216
243	0.8603459675	0.2998450898
244	0.8603652013	0.2998371233
245	0.8603603928	0.2998214944
246	0.8603531802	0.2998089332
247	0.8603603928	0.2997970684
248	0.8603652013	0.2997845756
249	0.8603964562	0.2997703517
250	0.8604012646	0.2997578761
251	0.8603820308	0.2997480269
252	0.8603988604	0.2997377549
253	0.8603964562	0.2997196433
254	0.8604277111	0.2997064693
255	0.8604132857	0.2996922734
256	0.8604036688	0.2996759316
257	0.8604012646	0.2996630612
258	0.8604277111	0.2996456565
259	0.8604373279	0.2996302416
260	0.8604445406	0.2996153476
261	0.8604854124	0.2995963095
262	0.8605022419	0.2995764646
263	0.8604685828	0.299561196
264	0.8604902208	0.2995481589
265	0.8604950293	0.2995307335
266	0.860492625	0.2995122362
267	0.8605046462	0.2995001705
268	0.860514263	0.2994827428
269	0.860514263	0.2994698152
270	0.8605455179	0.299460189
271	0.8605647517	0.2994481045
272	0.8605695601	0.2994327836
273	0.8605719644	0.2994149134
274	0.8605839855	0.2994014959
275	0.8606200488	0.2993842976
276	0.8606272615	0.2993698813
277	0.8606272615	0.2993600123
278	0.8606368784	0.2993477423
279	0.8606296657	0.2993290562
280	0.8606464952	0.2993140679
281	0.8606681332	0.2992985932
282	0.8606801544	0.2992867721
283	0.8606969839	0.2992772704
284	0.8607402599	0.2992617479
285	0.8607570894	0.2992472917
286	0.8607643021	0.2992375032
287	0.8607643021	0.2992173221
288	0.8607835359	0.2992074117
289	0.8607979612	0.2991981996
290	0.8608027697	0.2991835296
291	0.8607931528	0.2991721053
292	0.860817195	0.299152888
293	0.8608292161	0.2991406829
294	0.8608340245	0.2991279256
295	0.8608340245	0.2991136955
296	0.860860471	0.2991001301
297	0.8608532583	0.2990813963
298	0.8608436414	0.2990679574
299	0.8608773005	0.299050677
300	0.8608724921	0.2990383224
301	0.8608532583	0.299027065
302	0.8608268119	0.2990108929
303	0.8608556625	0.2989974659
304	0.8608508541	0.2989832711
305	0.8608748963	0.2989718941
306	0.8608724921	0.2989598848
307	0.8609085554	0.2989433121
308	0.8609301934	0.2989292825
309	0.8609494272	0.2989141248
310	0.8609446188	0.298901175
311	0.8609494272	0.298890803
312	0.8609782779	0.2988799687
313	0.8609830863	0.298862243
314	0.8609951074	0.2988487159
315	0.8609854905	0.2988340509
316	0.8609758736	0.2988205182
317	0.8609975116	0.2988045321
318	0.8610431918	0.2987891876
319	0.8610263623	0.2987733505
320	0.8610359792	0.2987656717
321	0.8610504045	0.298752839
322	0.8610528087	0.2987377515
323	0.8610287665	0.2987302374
324	0.8610287665	0.2987163671
325	0.8610504045	0.2987022755
326	0.8610480003	0.298690163
327	0.8610600214	0.298679772
328	0.8610816594	0.2986676915
329	0.8610816594	0.2986475617
330	0.8610624256	0.298634164
331	0.8610816594	0.298622107
332	0.861076851	0.2986115174
333	0.8610744467	0.2985957892
334	0.8610792552	0.2985828882
335	0.8610720425	0.2985716464
336	0.8611032974	0.2985610575
337	0.8611321481	0.298549293
338	0.8611273396	0.2985361205
339	0.8611345523	0.2985284385
340	0.8611465734	0.2985175968
341	0.8611393607	0.2985056869
342	0.8611561903	0.2984963173
343	0.8611609987	0.2984855696
344	0.8611802325	0.2984741425
345	0.8612162958	0.2984625833
346	0.8612235085	0.2984511233
347	0.8612042747	0.2984414273
348	0.8612187	0.2984282299
349	0.8612307211	0.2984176456
350	0.8612451465	0.2984058789
351	0.8612571676	0.2983965014
352	0.8612307211	0.2983835096
353	0.8612667845	0.2983730322
354	0.8612691887	0.2983626745
355	0.8612571676	0.2983536978
356	0.8612764014	0.2983406248
357	0.8612932309	0.2983288548
358	0.8613004436	0.298319315
359	0.8612908267	0.2983066488
360	0.8612812098	0.2982964431
361	0.8613004436	0.2982868208
362	0.8612643803	0.2982745295
363	0.8612307211	0.2982602585
364	0.8612499549	0.2982492794
365	0.8612547634	0.2982360303
366	0.861240338	0.2982262065
367	0.8612523591	0.2982112004
368	0.8612499549	0.2982013515
369	0.861240338	0.2981915322
370	0.8612739971	0.2981804309
371	0.8612691887	0.2981698555
372	0.8612739971	0.2981589438
373	0.8612956351	0.2981438171
374	0.8613244858	0.2981348625
375	0.8613244858	0.298126001
376	0.8613341027	0.2981152424
377	0.861348528	0.2981061775
378	0.8613413153	0.2980959144
379	0.861348528	0.2980777498
380	0.8613437196	0.2980661486
381	0.8613341027	0.2980591268
382	0.8613316985	0.298049707
383	0.8613533365	0.2980427505
384	0.8613749745	0.2980300952
385	0.8613990167	0.2980229254
386	0.861413442	0.2980155303
387	0.8614038251	0.2980026965
388	0.8614182504	0.2979891269
389	0.8614759518	0.2979753671
390	0.8614903771	0.2979662572
391	0.8614471011	0.2979550587
392	0.8614807602	0.2979446313
393	0.8614663349	0.2979346785
394	0.8614927813	0.2979271726
395	0.8615096109	0.2979161392
396	0.8614951855	0.2979039293
397	0.861499994	0.2978950562
398	0.8615072067	0.2978865446
399	0.8615072067	0.2978766774
400	0.8614951855	0.2978714141
401	0.8614927813	0.2978627372
402	0.8615023982	0.2978526191
403	0.8615048024	0.2978424865
404	0.8615240362	0.297831152
405	0.8614903771	0.2978174145
406	0.8615168235	0.2978065215
407	0.861521632	0.2977983069
408	0.8615264404	0.2977919815
409	0.8615192278	0.2977854586
410	0.8615384615	0.2977685671
411	0.8615384615	0.2977576571
412	0.861521632	0.2977482966
413	0.8615360573	0.2977403349
414	0.8615192278	0.2977327163
415	0.8615336531	0.2977198283
416	0.861586546	0.2977092572
417	0.8615793333	0.2976946934
418	0.8615937586	0.2976857106
419	0.8615913544	0.2976738108
420	0.8616009713	0.2976582115
421	0.8616105882	0.2976476375
422	0.8616370346	0.2976396087
423	0.8616490557	0.2976299199
424	0.8616706937	0.29762004
425	0.8616827148	0.2976117876
426	0.8616803106	0.2976058273
427	0.8616610769	0.2975936045
428	0.8616586726	0.2975845393
429	0.8616755022	0.2975742204
430	0.8616875233	0.2975653614
431	0.8616923317	0.2975548797
432	0.8616827148	0.2975480486
433	0.8616851191	0.2975381892
434	0.8617019486	0.2975310201
435	0.8617211824	0.2975191879
436	0.8617139697	0.2975073971
437	0.8617211824	0.297493952
438	0.8617067571	0.2974862204
439	0.8617187782	0.2974735054
440	0.8617259908	0.2974645352
441	0.8617115655	0.297452453
442	0.861716374	0.2974447694
443	0.8617548415	0.2974332145
444	0.8617668626	0.2974260802
445	0.8617836922	0.2974171125
446	0.8617957133	0.2974077403
447	0.8617981175	0.2973964309
448	0.8617885006	0.2973913317
449	0.8618101386	0.2973824691
450	0.8618125428	0.2973715389
451	0.8618029259	0.2973580124
452	0.8617957133	0.2973452693
453	0.8618077344	0.2973409786
454	0.8618221597	0.2973309668
455	0.8618197555	0.2973205735
456	0.8618341808	0.297312242
457	0.8618173513	0.2973059604
458	0.8618173513	0.297296075
459	0.8618269682	0.2972865788
460	0.8618269682	0.2972750652
461	0.8618702441	0.297265242
462	0.8618702441	0.2972560236
463	0.8618774568	0.2972416882
464	0.861901499	0.2972337284
465	0.8618942864	0.297225175
466	0.8618894779	0.297218313
467	0.8618990948	0.2972080004
468	0.8619423708	0.2971992299
469	0.8619592004	0.2971891662
470	0.8619616046	0.297184482
471	0.8619592004	0.2971774966
472	0.8619712215	0.297165873
473	0.8619736257	0.2971512232
474	0.8619736257	0.2971435319
475	0.8620048806	0.2971340224
476	0.862031327	0.2971241534
477	0.8620289228	0.2971189661
478	0.8620265186	0.2971121704
479	0.8620289228	0.2971033303
