iter	Passed	Remaining
709	20639	8430
710	20668	8401
711	20696	8371
712	20722	8341
713	20748	8311
714	20778	8282
715	20805	8252
716	20833	8223
717	20863	8194
718	20891	8164
719	20921	8136
720	20950	8107
721	20979	8078
722	21011	8049
723	21042	8021
724	21068	7991
725	21097	7962
726	21127	7933
727	21157	7904
728	21188	7876
729	21218	7847
730	21246	7818
731	21275	7789
732	21305	7760
733	21334	7731
734	21363	7702
735	21393	7673
736	21424	7645
737	21453	7616
738	21484	7587
739	21513	7558
740	21542	7529
741	21573	7501
742	21603	7472
743	21645	7447
744	21685	7422
745	21717	7394
746	21748	7365
747	21780	7337
748	21816	7311
749	21847	7282
750	21879	7254
751	21911	7225
752	21944	7198
753	21985	7172
754	22016	7144
755	22052	7117
756	22084	7089
757	22114	7060
758	22145	7031
759	22174	7002
760	22204	6973
761	22234	6944
762	22264	6915
763	22294	6886
764	22324	6857
765	22354	6828
766	22403	6805
767	22434	6777
768	22465	6748
769	22493	6718
770	22524	6690
771	22557	6662
772	22589	6633
773	22624	6606
774	22658	6578
775	22694	6551
776	22723	6521
777	22754	6492
778	22784	6463
779	22812	6434
780	22842	6405
781	22872	6376
782	22903	6347
783	22934	6318
784	22963	6289
785	22993	6260
786	23021	6230
787	23052	6201
788	23087	6174
789	23118	6145
790	23145	6115
791	23172	6085
792	23202	6056
793	23232	6027
794	23263	5998
795	23293	5969
796	23324	5940
797	23352	5911
798	23382	5882
799	23414	5853
800	23443	5824
801	23474	5795
802	23506	5766
803	23537	5738
804	23567	5708
805	23598	5680
806	23629	5651
807	23661	5622
808	23690	5593
809	23720	5564
810	23751	5535
811	23779	5505
812	23809	5476
813	23838	5447
814	23868	5417
815	23898	5388
816	23928	5359
817	23956	5330
818	23988	5301
819	24018	5272
820	24049	5243
821	24077	5213
822	24110	5185
823	24138	5155
824	24171	5127
825	24198	5097
826	24230	5068
827	24259	5039
828	24287	5009
829	24317	4980
830	24346	4951
831	24375	4922
832	24406	4893
833	24436	4863
834	24467	4834
835	24498	4805
836	24528	4776
837	24559	4747
838	24590	4718
839	24618	4689
840	24648	4660
841	24680	4631
842	24711	4602
843	24740	4572
844	24770	4543
845	24799	4514
846	24831	4485
847	24860	4456
848	24889	4426
849	24922	4398
850	24953	4369
851	24984	4340
852	25014	4310
853	25044	4281
854	25076	4252
855	25104	4223
856	25135	4194
857	25165	4164
858	25196	4135
859	25224	4106
860	25255	4077
861	25283	4047
862	25314	4018
863	25342	3989
864	25371	3959
865	25403	3930
866	25429	3900
867	25455	3871
868	25486	3842
869	25517	3812
870	25548	3783
871	25580	3754
872	25612	3725
873	25640	3696
874	25670	3667
875	25699	3637
876	25727	3608
877	25753	3578
878	25787	3549
879	25815	3520
880	25844	3490
881	25872	3461
882	25902	3432
883	25933	3402
884	25963	3373
885	25992	3344
886	26022	3315
887	26054	3286
888	26085	3257
889	26116	3227
890	26145	3198
891	26175	3169
892	26203	3139
893	26232	3110
894	26264	3081
895	26294	3052
896	26325	3022
897	26354	2993
898	26383	2964
899	26410	2934
900	26439	2905
901	26467	2875
902	26495	2846
903	26526	2816
904	26554	2787
905	26585	2758
906	26616	2729
907	26648	2700
908	26682	2671
909	26713	2641
910	26746	2612
911	26774	2583
912	26812	2554
913	26843	2525
914	26872	2496
915	26906	2467
916	26939	2438
917	26975	2409
918	27007	2380
919	27038	2351
920	27069	2321
921	27103	2292
922	27136	2263
923	27165	2234
924	27197	2205
925	27227	2175
926	27261	2146
927	27291	2117
928	27325	2088
929	27358	2059
930	27395	2030
931	27424	2000
932	27457	1971
933	27488	1942
934	27521	1913
935	27552	1883
936	27583	1854
937	27614	1825
938	27644	1795
939	27673	1766
940	27698	1736
941	27731	1707
942	27763	1678
943	27793	1648
944	27822	1619
945	27851	1589
946	27880	1560
947	27909	1530
948	27943	1501
949	27975	1472
950	28005	1442
951	28033	1413
952	28063	1384
953	28095	1354
954	28125	1325
955	28154	1295
956	28184	1266
957	28213	1236
958	28243	1207
959	28273	1178
960	28305	1148
961	28337	1119
962	28367	1089
963	28396	1060
964	28427	1031
965	28457	1001
966	28489	972
967	28520	942
968	28549	913
969	28580	883
970	28612	854
971	28640	825
972	28669	795
973	28699	766
974	28731	736
975	28763	707
976	28795	677
977	28827	648
978	28858	619
979	28884	589
980	28913	559
981	28940	530
982	28973	501
983	29004	471
984	29031	442
985	29057	412
986	29087	383
987	29119	353
988	29150	324
989	29181	294
990	29209	265
991	29235	235
992	29265	206
993	29294	176
994	29325	147
995	29351	117
996	29378	88
997	29407	58
998	29437	29
999	29467	0
